Transform3D(0.763926, 0.5973, -0.201717, -0.547088, 0.468985, -0.687536, -0.314017, 0.635817, 0.697189, -0.136395, 0.659715, -0.572948)
Transform3D(0.762302, 0.598617, -0.203962, -0.548724, 0.465711, -0.688484, -0.315111, 0.636984, 0.695598, -0.136176, 0.659542, -0.572793)
Transform3D(0.760738, 0.599881, -0.206091, -0.550523, 0.463072, -0.688843, -0.315752, 0.637719, 0.694615, -0.135958, 0.659355, -0.572626)
Transform3D(0.759332, 0.600981, -0.208073, -0.552124, 0.460608, -0.689228, -0.316339, 0.638466, 0.693641, -0.13576, 0.658969, -0.572595)
Transform3D(0.757796, 0.602526, -0.209207, -0.553665, 0.458673, -0.68929, -0.317325, 0.638403, 0.693239, -0.135594, 0.65844, -0.572792)
Transform3D(0.755821, 0.604408, -0.210932, -0.557225, 0.459078, -0.686089, -0.315803, 0.636329, 0.695886, -0.135416, 0.657828, -0.573131)
Transform3D(0.753825, 0.606317, -0.212602, -0.561067, 0.460088, -0.682203, -0.313763, 0.633779, 0.69919, -0.135175, 0.657089, -0.573542)
Transform3D(0.751417, 0.60859, -0.214638, -0.565671, 0.46125, -0.677519, -0.311264, 0.630748, 0.703112, -0.134986, 0.656294, -0.57433)
Transform3D(0.747717, 0.612362, -0.216837, -0.572056, 0.462707, -0.671019, -0.308491, 0.626013, 0.708648, -0.134866, 0.656063, -0.574873)
Transform3D(0.745178, 0.615182, -0.217604, -0.576059, 0.463752, -0.666786, -0.307184, 0.622465, 0.7124, -0.134731, 0.655941, -0.575397)
Transform3D(0.742712, 0.617882, -0.218388, -0.579931, 0.464702, -0.662682, -0.305866, 0.619072, 0.715979, -0.135029, 0.65618, -0.575538)
Transform3D(0.742831, 0.618532, -0.216118, -0.579358, 0.466218, -0.662104, -0.306663, 0.617282, 0.717202, -0.135085, 0.65685, -0.575644)
Transform3D(0.743471, 0.618316, -0.214518, -0.578107, 0.466948, -0.662691, -0.307473, 0.616946, 0.71714, -0.135101, 0.657498, -0.575789)
Transform3D(0.743912, 0.618227, -0.213228, -0.577206, 0.467578, -0.663035, -0.308095, 0.616557, 0.717207, -0.135266, 0.657838, -0.575667)
Transform3D(0.746368, 0.61595, -0.211212, -0.574308, 0.469914, -0.663907, -0.307572, 0.61706, 0.716997, -0.135237, 0.658406, -0.575439)
Transform3D(0.7477, 0.61459, -0.210458, -0.572244, 0.469848, -0.665765, -0.308184, 0.618465, 0.715494, -0.135196, 0.658881, -0.575312)
Transform3D(0.748582, 0.61369, -0.209944, -0.570873, 0.469816, -0.666984, -0.308585, 0.619383, 0.714509, -0.135247, 0.65906, -0.575124)
Transform3D(0.749468, 0.612721, -0.20961, -0.569518, 0.469634, -0.668292, -0.308939, 0.620479, 0.713384, -0.135191, 0.659425, -0.574805)
Transform3D(0.750026, 0.611871, -0.210101, -0.568508, 0.468454, -0.670011, -0.309445, 0.622208, 0.711625, -0.135167, 0.659747, -0.574261)
Transform3D(0.751377, 0.609972, -0.210794, -0.566903, 0.467814, -0.671848, -0.309109, 0.624548, 0.709686, -0.135113, 0.660088, -0.573628)
Transform3D(0.752961, 0.607733, -0.211612, -0.565032, 0.467068, -0.673979, -0.308682, 0.627284, 0.707418, -0.134811, 0.66058, -0.573199)
